iterm_name	nvim_name	similarity_index_lab	nvim_url
Everblush	nightly.nvim	0.9859221579960252	https://github.com/Alexis12119/nightly.nvim
Tomorrow Night	rusty	0.9737994640168322	https://github.com/armannikoyan/rusty
Rose Pine	Sakura.nvim	0.9650942268203588	https://github.com/numToStr/Sakura.nvim
Challenger Deep	DarkScene.vim	0.9633728768078192	https://github.com/aswathkk/DarkScene.vim
Atom One Dark	onepro	0.9610303363084814	https://github.com/rafamadriz/onepro
Black Metal (Marduk)	nolife.nvim	0.9594869134227244	https://github.com/csgn/nolife.nvim
Mellow	oldtale.nvim	0.958756404424463	https://github.com/topazape/oldtale.nvim
Nvim Dark	monoglow.nvim	0.9586040158225112	https://github.com/wnkz/monoglow.nvim
Gruvbox Dark	gruvsquirrel.nvim	0.9580471253533268	https://github.com/mikesmithgh/gruvsquirrel.nvim
Cursor Dark	nordic.nvim	0.956781907440582	https://github.com/AlexvZyl/nordic.nvim
